cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains
1,Money & Markets,1.0,2,1
10,"People, Work & Living Conditions",1.0,1,1
100,Tech & Innovation,1.0,1,1
1000,Learning & Education,1.0,1,1
1001,"People, Work & Living Conditions",1.0,1,1
1002,"People, Work & Living Conditions",1.0,2,1
1003,Money & Markets,1.0,1,1
1004,Living Well,1.0,3,1
1005,Living Well,1.0,1,1
1006,Living Well,1.0,2,1
1007,Living Well,1.0,1,1
1008,Health & Safety,1.0,1,1
1009,Living Well,1.0,1,1
101,Money & Markets,1.0,2,1
1010,Living Well,1.0,1,1
1011,Transports,1.0,5,1
1012,Living Well,1.0,1,1
1013,Money & Markets,1.0,2,1
1014,Money & Markets,1.0,1,1
1015,Money & Markets,1.0,1,1
1016,Money & Markets,1.0,1,1
1017,Money & Markets,1.0,1,1
1018,Transports,1.0,2,1
1019,Transports,1.0,5,1
102,Transports,1.0,1,1
1020,Transports,1.0,1,1
1021,"People, Work & Living Conditions",1.0,2,1
1022,Environment & Natural Resources and Production,1.0,2,1
1023,Living Well,1.0,1,1
1024,Money & Markets,1.0,13,1
1026,Money & Markets,1.0,1,1
1027,Money & Markets,1.0,1,1
1028,Money & Markets,1.0,1,1
1029,Money & Markets,1.0,1,1
1030,Health & Safety,1.0,1,1
1031,"People, Work & Living Conditions",1.0,10,1
1032,"People, Work & Living Conditions",1.0,1,1
1033,"People, Work & Living Conditions",1.0,3,1
1035,Money & Markets,1.0,1,1
1036,Money & Markets,1.0,2,1
1037,Transports,1.0,5,1
1038,Environment & Natural Resources and Production,1.0,1,1
1039,Environment & Natural Resources and Production,1.0,1,1
104,Money & Markets,1.0,1,1
1040,"People, Work & Living Conditions",1.0,1,1
1041,Health & Safety,1.0,1,1
1042,"People, Work & Living Conditions",1.0,1,1
1043,Money & Markets,1.0,1,1
1044,Transports,1.0,1,1
1045,Transports,1.0,1,1
1046,Health & Safety,1.0,3,1
1047,Transports,1.0,1,1
1048,Transports,1.0,1,1
1049,Transports,1.0,1,1
105,Money & Markets,1.0,1,1
1050,Environment & Natural Resources and Production,1.0,1,1
1051,Environment & Natural Resources and Production,1.0,2,1
1052,Environment & Natural Resources and Production,1.0,2,1
1053,Environment & Natural Resources and Production,1.0,1,1
1054,Environment & Natural Resources and Production,1.0,1,1
1055,Environment & Natural Resources and Production,1.0,1,1
1056,Environment & Natural Resources and Production,1.0,1,1
1057,Environment & Natural Resources and Production,1.0,2,1
1058,Environment & Natural Resources and Production,1.0,1,1
1059,Health & Safety,1.0,38,1
106,Environment & Natural Resources and Production,1.0,1,1
1060,Health & Safety,1.0,1,1
1062,Learning & Education,1.0,1,1
1063,"People, Work & Living Conditions",0.75,4,2
1064,"People, Work & Living Conditions",1.0,4,1
1065,Money & Markets,1.0,1,1
1066,Money & Markets,1.0,1,1
1067,"People, Work & Living Conditions",1.0,1,1
107,Money & Markets,1.0,1,1
109,Transports,1.0,1,1
11,"People, Work & Living Conditions",0.6666666666666666,3,2
110,Transports,1.0,1,1
111,Transports,1.0,1,1
112,Environment & Natural Resources and Production,1.0,3,1
114,Health & Safety,1.0,1,1
115,Health & Safety,1.0,1,1
116,Health & Safety,1.0,1,1
117,Money & Markets,1.0,3,1
118,Environment & Natural Resources and Production,1.0,1,1
119,"People, Work & Living Conditions",1.0,1,1
12,Money & Markets,1.0,1,1
120,"People, Work & Living Conditions",1.0,3,1
121,"People, Work & Living Conditions",1.0,1,1
122,"People, Work & Living Conditions",1.0,2,1
125,"People, Work & Living Conditions",1.0,1,1
126,"People, Work & Living Conditions",1.0,1,1
127,Learning & Education,1.0,1,1
128,"People, Work & Living Conditions",1.0,1,1
129,"People, Work & Living Conditions",1.0,1,1
13,"People, Work & Living Conditions",0.5,2,2
130,Health & Safety,1.0,1,1
131,Environment & Natural Resources and Production,1.0,2,1
132,Learning & Education,1.0,1,1
133,Environment & Natural Resources and Production,1.0,1,1
134,Environment & Natural Resources and Production,1.0,1,1
136,Transports,1.0,3,1
137,Transports,1.0,1,1
138,Money & Markets,1.0,2,1
139,Environment & Natural Resources and Production,1.0,3,1
14,Learning & Education,1.0,1,1
141,Tech & Innovation,1.0,1,1
142,Money & Markets,1.0,1,1
143,"People, Work & Living Conditions",1.0,1,1
144,"People, Work & Living Conditions",1.0,1,1
145,Environment & Natural Resources and Production,1.0,1,1
146,"People, Work & Living Conditions",1.0,1,1
147,Environment & Natural Resources and Production,1.0,1,1
148,Learning & Education,1.0,1,1
149,Environment & Natural Resources and Production,1.0,1,1
