Time frequency,Mode of transport,Unit of measure,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Air,Percentage,Austria,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7
Annual,Air,Percentage,Belgium,0.3,0.3,0.3,0.3,0.3 e,0.3 e,0.3 e,0.3 e,0.3 e,0.3 e,0.4 be,0.3 e,0.3 e,0.4 e,0.4 e
Annual,Air,Percentage,Bulgaria,0.6 e,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.8,0.8
Annual,Air,Percentage,Switzerland,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4 e,0.4 e,0.4 e,0.3 e,0.4 e,0.4 e
Annual,Air,Percentage,Cyprus,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Air,Percentage,Czechia,0.9,0.8,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7
Annual,Air,Percentage,Germany,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
Annual,Air,Percentage,Denmark,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Air,Percentage,Estonia,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4
Annual,Air,Percentage,Greece,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0 n,0.0 n,0.1
Annual,Air,Percentage,Spain,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Air,Percentage,European Union - 27 countries (from 2020),0.2 e,0.2,0.2,0.2,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e
Annual,Air,Percentage,Finland,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3 e,0.2 e,0.2,0.2,0.2,0.2
Annual,Air,Percentage,France,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2
Annual,Air,Percentage,Croatia,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Annual,Air,Percentage,Hungary,1.1,1.1,1.3,1.3,1.2,1.2,1.1,1.2,1.1,1.0,1.2,1.1,1.0,1.1,1.2
Annual,Air,Percentage,Ireland,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4
Annual,Air,Percentage,Italy,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Air,Percentage,Lithuania,0.6,0.8,1.0,1.0,1.0,1.0,1.1,1.1,1.2,1.2,1.2,1.2,1.1,1.4,1.2
Annual,Air,Percentage,Luxembourg,1.1,1.0,1.0,1.0,0.8,0.9,0.9,1.1,1.1,1.2,1.4,1.3,1.5,1.6,1.5
Annual,Air,Percentage,Latvia,0.4,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,1.2,1.5,1.1
Annual,Air,Percentage,Netherlands,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Air,Percentage,Norway,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Air,Percentage,Poland,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
Annual,Air,Percentage,Portugal,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Air,Percentage,Romania,1.1 e,1.1,1.5,1.5,1.3,1.4,1.4,1.4,1.4,1.5,1.6,1.3,1.3,1.4,1.5
Annual,Air,Percentage,Sweden,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Annual,Air,Percentage,Slovenia,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3
Annual,Air,Percentage,Slovakia,0.9,0.9,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0
Annual,Inland waterways,Percentage,Austria,3.6,3.6,3.9,3.4,3.6,3.9,3.5,2.8,2.9,2.9,2.1,2.4,2.3,2.0,1.7
Annual,Inland waterways,Percentage,Belgium,8.0,7.5,8.9,9.0,10.1 e,9.8 e,9.7 e,9.4 e,9.1 e,9.7 e,7.1 be,6.8 e,6.7 e,7.0 e,6.6 e
Annual,Inland waterways,Percentage,Bulgaria,15.8 e,14.4,15.8,11.0,13.4,12.4,12.3,13.4,13.1,11.8,10.9,12.8,13.6,11.7,8.1
Annual,Inland waterways,Percentage,Switzerland,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1 e,0.1 e,0.1 e,0.1 e,0.1 e,0.1 e
Annual,Inland waterways,Percentage,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Czechia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0 n,0.0,0.1,0.0 n,0.0 n,0.0 n
Annual,Inland waterways,Percentage,Germany,8.1,7.8,8.1,7.0,7.5,7.5,7.3,6.8,6.4,6.4,5.5,5.8,5.5,5.5,5.1
Annual,Inland waterways,Percentage,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Greece,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Spain,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,European Union - 27 countries (from 2020),2.3 e,2.2,2.4,2.1,2.2 e,2.2 e,2.2 e,2.1 e,2.1 e,2.0 e,1.7 e,1.8 e,1.8 e,1.8 e,1.6 e
Annual,Inland waterways,Percentage,Finland,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2 e,0.2 e,0.1,0.1,0.2,0.2
Annual,Inland waterways,Percentage,France,0.9,1.0,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7
Annual,Inland waterways,Percentage,Croatia,1.2,1.1,1.4,1.0,1.2,1.2,1.1,1.3,1.2,1.0,0.9,1.0,1.1,1.0,0.7
Annual,Inland waterways,Percentage,Hungary,5.7,5.7,7.3,5.7,6.3,6.0,5.5,5.3,5.3,4.8,4.1,5.2,5.0,4.3,3.5
Annual,Inland waterways,Percentage,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Italy,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Inland waterways,Percentage,Lithuania,0.1,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
