Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Total,Malta,2.6,2.5,1.6,1.1,1.4,1.4,1.7,2.6,2.8,2.7,2.9,6.0 b
Annual,Percentage,Total,Total,Total,Netherlands,14.4,15.7,15.4,14.9,10.7 b,9.4,9.4,9.9,8.3,8.3,10.0,9.3
Annual,Percentage,Total,Total,Total,Norway,9.7,9.6,8.2,9.4,9.7,9.3,10.6,10.5,9.4,10.9 b,12.4,13.9
Annual,Percentage,Total,Total,Total,Poland,10.5,10.3,9.6,8.7,7.7,6.7,6.2,6.0,4.9 b,5.7,5.6,5.9
Annual,Percentage,Total,Total,Total,Portugal,8.3,8.3,9.2,9.1,7.5,6.7,5.7,5.7,4.1,5.9,5.0,4.9
Annual,Percentage,Total,Total,Total,Romania,18.4,16.9,16.2,15.9,14.4,12.3,10.3,8.6,7.1,7.5,8.5,9.1
Annual,Percentage,Total,Total,Total,Serbia,:,28.0,31.7,33.7,31.0,33.6,31.3,21.6,17.8,15.1,13.1,:
Annual,Percentage,Total,Total,Total,Sweden,8.7,9.0,8.6,8.7,8.5,8.4,8.3,9.4,8.3,8.5,9.1,10.9
Annual,Percentage,Total,Total,Total,Slovenia,5.2,6.0,6.4,6.1,5.7,5.2,4.9,4.1,4.4,4.1,4.1,3.7
Annual,Percentage,Total,Total,Total,Slovakia,8.4,8.3,9.0,9.1,7.7,8.4,4.1,5.7,3.2,7.1,2.5,5.9
Annual,Percentage,Total,Total,Total,Türkiye,9.8,11.7,10.3,10.5,10.1,9.5,9.7,10.5,10.2,11.5,11.2,14.4
Annual,Percentage,Total,Total,Total,United Kingdom,7.3 b,7.9,12.5 b,12.4,12.3,12.4 b,15.1,:,:,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Albania,:,:,:,:,:,9.8,6.6,5.7,4.1,3.6,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Austria,7.6,7.3,7.2,6.8,8.1,7.8,7.2,7.5,6.6,6.5,7.8,5.9
Annual,Percentage,Total,Total,From 18 to 64 years,Belgium,10.7,9.7,10.3,9.9,10.4,9.7,9.1,8.3 b,7.7,7.7,7.4,7.2
Annual,Percentage,Total,Total,From 18 to 64 years,Bulgaria,12.0,11.5,11.1,12.5,18.7 b,15.8,15.1,12.9,11.1,9.0,11.9,9.9
Annual,Percentage,Total,Total,From 18 to 64 years,Switzerland,9.7,8.7,10.3 b,10.2,10.2,10.8,10.6,11.7,11.3,12.6,11.5,11.9
Annual,Percentage,Total,Total,From 18 to 64 years,Cyprus,3.6,3.3,4.1,4.2,3.3,2.9,2.2,2.5,2.0,2.8,2.8,2.9
Annual,Percentage,Total,Total,From 18 to 64 years,Czechia,9.1,11.0,9.9,9.5,9.1,8.0,6.8,6.0,6.0,6.1,6.2,8.2
Annual,Percentage,Total,Total,From 18 to 64 years,Germany,16.3,15.8,15.2,15.1,15.1,14.0,13.8,13.0,8.9 b,10.6,11.6,12.2 b
Annual,Percentage,Total,Total,From 18 to 64 years,Denmark,16.5,18.7,17.4,16.6,16.8,17.0,16.4,17.5,15.6 b,17.5,16.5,17.3
Annual,Percentage,Total,Total,From 18 to 64 years,Euro area - 19 countries  (2015-2022),11.6,11.7,12.0,11.8,11.5,10.7,10.3,10.2,8.4,9.1 e,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Euro area – 20 countries (from 2023),:,:,12.0,11.7,11.5,10.6,10.2,10.1,8.4,9.6,9.1,9.0
Annual,Percentage,Total,Total,From 18 to 64 years,Estonia,8.6,7.4,9.1 b,7.1,5.5,5.4,4.6,5.1,5.2,5.3,5.3,7.8
Annual,Percentage,Total,Total,From 18 to 64 years,Greece,34.4,38.1,46.9,47.1,42.7,41.6,41.2,37.1,34.4,30.4,26.5,28.7
Annual,Percentage,Total,Total,From 18 to 64 years,Spain,11.6,11.1,12.1,11.2,11.0,10.5,9.8,9.4,8.5,10.1,9.5,8.3
Annual,Percentage,Total,Total,From 18 to 64 years,European Union - 27 countries (2007-2013),11.4,11.5,12.2,11.9,11.7,10.8,10.6,10.3 e,:,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,European Union - 27 countries (from 2020),11.8,11.8,11.9 e,11.6 e,11.3 e,10.5 e,9.9 e,9.7 e,8.1,8.9,8.9,8.9
Annual,Percentage,Total,Total,From 18 to 64 years,European Union - 28 countries (2013-2020),11.4,11.5,12.1,11.8,11.6,10.7,10.5,10.3 e,:,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Finland,5.2,5.2,5.9,5.9,5.2,4.8,4.9,4.4,4.9,5.0,6.5,6.3
Annual,Percentage,Total,Total,From 18 to 64 years,France,6.3,6.4,6.1,6.5,6.3,6.0,5.6,6.3,6.2 b,:,6.9 b,6.8
Annual,Percentage,Total,Total,From 18 to 64 years,Croatia,6.6,8.2,7.3,7.3,6.4,5.4,4.6,4.5,3.6,4.0,3.1,3.4
Annual,Percentage,Total,Total,From 18 to 64 years,Hungary,15.1,15.1,13.3,9.2,9.3,11.2,10.1,5.0,5.3,2.7,8.6,8.4
Annual,Percentage,Total,Total,From 18 to 64 years,Ireland,6.9,5.3,7.0,5.0,5.3,5.2,4.0,5.8 b,4.5 b,2.9,4.0,5.4
Annual,Percentage,Total,Total,From 18 to 64 years,Iceland,9.3,9.1,8.3,9.0,7.0,8.8,8.7,12.3,:,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Italy,8.5,9.2,9.1,9.1,10.4,8.9,9.0,9.6,7.9,7.9,7.2,6.2
Annual,Percentage,Total,Total,From 18 to 64 years,Lithuania,8.6,7.6,6.4,7.9,7.5,7.1,5.3,5.0,2.8,2.8,3.6,5.3
Annual,Percentage,Total,Total,From 18 to 64 years,Luxembourg,5.5,6.0,7.4,6.8,7.6 b,7.5,10.1,10.7,9.2 b,5.6 b,10.2 b,12.2
Annual,Percentage,Total,Total,From 18 to 64 years,Latvia,11.3,10.9,9.0,7.6,6.6,6.6,6.3,5.4,4.8,4.9,5.6,6.9
Annual,Percentage,Total,Total,From 18 to 64 years,Montenegro,:,19.7,16.7,16.5,16.4,15.1,14.0,11.6,8.9,7.6,5.7,:
Annual,Percentage,Total,Total,From 18 to 64 years,North Macedonia,19.5,17.6,15.9,12.2,12.3,11.0,9.9,9.9,8.7,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Malta,2.4,2.4,1.5,0.9,1.3,1.3,1.7,2.9,3.0,2.7,2.9,6.0 b
Annual,Percentage,Total,Total,From 18 to 64 years,Netherlands,15.6,17.2,17.3,16.2,11.9 b,10.5,10.2,11.1,9.3,9.6,11.3,10.5
Annual,Percentage,Total,Total,From 18 to 64 years,Norway,11.4,10.9,10.0,11.7,11.3,11.1,12.6,12.3,11.4,12.6 b,14.4,16.0
Annual,Percentage,Total,Total,From 18 to 64 years,Poland,10.3,10.3,9.7,9.0,8.0,7.1,6.7,6.4,4.9 b,5.6,5.6,5.9
Annual,Percentage,Total,Total,From 18 to 64 years,Portugal,8.5,8.6,9.9,10.0,8.2,7.4,6.1,6.3,4.3,6.1,5.3,5.2
Annual,Percentage,Total,Total,From 18 to 64 years,Romania,18.0,16.4,15.9,15.3,14.1,12.0,9.7,8.1,7.2,8.0,9.1,9.5
Annual,Percentage,Total,Total,From 18 to 64 years,Serbia,:,28.9,32.1,34.5,32.4,33.9,31.5,21.3,17.9,15.8,13.4,:
Annual,Percentage,Total,Total,From 18 to 64 years,Sweden,8.1,9.0,8.8,8.9,8.4,8.1,8.3,9.4,8.9,9.5,9.4,10.8
Annual,Percentage,Total,Total,From 18 to 64 years,Slovenia,5.2,5.9,6.5,6.2,5.9,5.6,5.0,4.1,4.4,4.0,4.1,3.6
Annual,Percentage,Total,Total,From 18 to 64 years,Slovakia,7.4,7.7,8.5,8.7,7.2,7.3,3.8,5.4,3.3,6.8,2.5,6.0
Annual,Percentage,Total,Total,From 18 to 64 years,Türkiye,9.5,11.2,9.9,10.4,9.8,9.2,9.4,10.1,9.9,11.3,11.3,14.3
Annual,Percentage,Total,Total,From 18 to 64 years,United Kingdom,8.6 b,9.0,13.9 b,13.9,13.8,12.8 b,14.9,:,:,:,:,:
Annual,Percentage,Total,Total,65 years or over,Albania,:,:,:,:,:,4.3,2.5,3.5,2.5,2.2,:,:
Annual,Percentage,Total,Total,65 years or over,Austria,6.5,7.7,5.4,5.3,4.8,4.9,5.2,5.6,5.5,6.1,6.9,7.5
Annual,Percentage,Total,Total,65 years or over,Belgium,14.5,11.2,11.9,11.3,10.1,10.2,10.0,10.9 b,11.4,10.7,12.4,13.1
Annual,Percentage,Total,Total,65 years or over,Bulgaria,21.6,24.3,16.4,24.4,26.1 b,29.3,26.6,25.8,24.5,20.5,24.7,14.2
Annual,Percentage,Total,Total,65 years or over,Switzerland,25.4,22.2,21.4 b,21.9,22.5,24.3,23.3,26.2,24.7,25.6,24.3,25.0
Annual,Percentage,Total,Total,65 years or over,Cyprus,2.1,1.6,2.8,2.0,1.9,2.5,1.2,0.9,2.1,1.8,1.9,2.4
Annual,Percentage,Total,Total,65 years or over,Czechia,14.9,14.3,13.9,13.3,12.2,11.8,12.0,10.1,8.7,6.5,9.4,12.3
Annual,Percentage,Total,Total,65 years or over,Germany,20.3,22.5,22.0,20.5,22.7,20.0,19.3,20.4,10.3 b,13.4,15.2,16.6 b
Annual,Percentage,Total,Total,65 years or over,Denmark,23.2,23.2,18.1,18.6,18.8,21.5,20.4,19.8,18.0 b,17.7,18.1,16.7
Annual,Percentage,Total,Total,65 years or over,Euro area - 19 countries  (2015-2022),9.8,10.6,10.7,10.3,10.6,9.9,9.4,9.9,7.3,8.5 e,:,:
Annual,Percentage,Total,Total,65 years or over,Euro area – 20 countries (from 2023),:,:,10.7,10.3,10.6,9.8,9.4,9.8,7.3,8.8,9.5,9.7
Annual,Percentage,Total,Total,65 years or over,Estonia,6.0,5.9,5.6 b,4.1,3.8,3.6,3.4,3.0,3.0,2.4,5.3,9.2
Annual,Percentage,Total,Total,65 years or over,Greece,24.1,26.7,33.0,32.9,26.0,27.2,27.8,27.6,23.2,19.3,24.9,27.2
Annual,Percentage,Total,Total,65 years or over,Spain,3.5,3.9,3.5,3.7,3.5,4.2,3.7,3.5,4.9,6.0,6.2,5.5
Annual,Percentage,Total,Total,65 years or over,European Union - 27 countries (2007-2013),10.1,10.5,10.7,10.5,10.5,10.3,10.3,10.4 e,:,:,:,:
Annual,Percentage,Total,Total,65 years or over,European Union - 27 countries (from 2020),11.0,11.4,11.1 e,10.8 e,10.8 e,10.4 e,9.8 e,10.0 e,7.8,8.8,9.7,9.8
Annual,Percentage,Total,Total,65 years or over,European Union - 28 countries (2013-2020),10.1,10.5,10.6,10.4,10.5,10.3,10.3,10.4 e,:,:,:,:
Annual,Percentage,Total,Total,65 years or over,Finland,4.6,5.4,5.0,4.8,4.2,4.8,4.9,4.8,4.9,4.9,5.7,5.7
Annual,Percentage,Total,Total,65 years or over,France,2.8,2.9,3.7,4.0,4.0,4.2,3.4,5.0,5.9 b,:,7.6 b,7.8
Annual,Percentage,Total,Total,65 years or over,Croatia,9.1,9.4,9.0,8.4,8.1,7.9,8.1,6.8,7.3,7.5,7.0,7.4
Annual,Percentage,Total,Total,65 years or over,Hungary,12.7,10.0,9.2,5.9,6.4,9.1,8.0,2.6,2.9,2.0,8.6,7.3
Annual,Percentage,Total,Total,65 years or over,Ireland,3.5,3.1,4.7,2.7,2.6,1.7,1.4,1.8 b,2.5 b,1.0,1.8,1.6
Annual,Percentage,Total,Total,65 years or over,Iceland,6.5,5.9,6.5,4.8,4.5,6.8,8.8,9.1,:,:,:,:
Annual,Percentage,Total,Total,65 years or over,Italy,5.0,6.2,5.3,5.4,6.4,5.3,5.3,5.4,4.9,5.4,6.0,5.0
Annual,Percentage,Total,Total,65 years or over,Lithuania,11.6,9.8,9.2,11.8,9.8,7.2,5.6,4.7,2.6,2.8,3.9,5.0
Annual,Percentage,Total,Total,65 years or over,Luxembourg,1.9,2.7,3.1,3.5,5.8 b,5.7,5.3,6.1,5.2 b,4.7 b,4.6 b,6.9
Annual,Percentage,Total,Total,65 years or over,Latvia,11.5,14.0,11.8,9.9,9.5,9.2,9.0,7.7,6.1,5.9,6.7,10.0
Annual,Percentage,Total,Total,65 years or over,Montenegro,:,15.0,10.8,12.9,13.6,12.7,11.9,10.0,8.0,7.9,5.0,:
Annual,Percentage,Total,Total,65 years or over,North Macedonia,20.1,16.0,11.2,10.0,9.8,10.1,9.2,8.4,5.5,:,:,:
Annual,Percentage,Total,Total,65 years or over,Malta,3.1,1.9,1.4,1.9,1.7,1.4,1.6,1.2,2.0,2.4,2.2,3.9 b
Annual,Percentage,Total,Total,65 years or over,Netherlands,10.7,11.1,13.6,12.6,13.4 b,11.8,12.3,12.5,10.1,10.4,13.1,11.6
Annual,Percentage,Total,Total,65 years or over,Norway,5.8,6.1,5.1,4.9,6.4,5.7,5.9,6.3,5.5,5.9 b,7.9,8.9
Annual,Percentage,Total,Total,65 years or over,Poland,11.9,10.0,9.4,7.9,6.7,6.9,6.9,6.8,7.2 b,8.3,7.2,7.5
Annual,Percentage,Total,Total,65 years or over,Portugal,3.4,3.2,4.4,4.1,4.0,4.2,3.5,3.2,2.6,4.0,3.5,2.6
Annual,Percentage,Total,Total,65 years or over,Romania,18.1,16.9,16.7,16.3,14.6,14.4,11.9,10.7,8.1,7.2,8.4,8.9
Annual,Percentage,Total,Total,65 years or over,Serbia,:,20.8,26.4,27.7,23.2,29.4,27.6,20.0,16.6,13.9,13.6,:
Annual,Percentage,Total,Total,65 years or over,Sweden,14.6,13.7,12.3,11.5,11.9,12.5,12.0,12.2,10.4,10.3,13.6,16.2
Annual,Percentage,Total,Total,65 years or over,Slovenia,6.5,7.1,6.4,6.7,5.6,4.5,5.4,4.9,4.9,5.6,5.4,4.7
Annual,Percentage,Total,Total,65 years or over,Slovakia,10.3,8.1,8.0,8.1,8.1,12.8,5.7,4.0,3.4,5.5,2.0,4.7
Annual,Percentage,Total,Total,65 years or over,Türkiye,4.6,4.8,4.7,4.9,4.9,4.4,5.0,5.2,8.3,4.9,4.4,9.0
Annual,Percentage,Total,Total,65 years or over,United Kingdom,3.7 b,4.0,7.5 b,8.2,7.8,9.5 b,13.6,:,:,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,Albania,:,:,:,:,:,10.3,6.5,6.0,3.8,3.3,:,:
Annual,Percentage,Total,Total,Less than 18 years,Austria,5.2,6.3,5.5,5.9,6.4,6.5,7.3,6.7,6.3,4.8,6.8,5.3
Annual,Percentage,Total,Total,Less than 18 years,Belgium,9.3,7.9,9.3,6.6,7.7,7.9,7.4,6.3 b,4.8,4.3,4.3,4.5
Annual,Percentage,Total,Total,Less than 18 years,Bulgaria,16.2,13.9,15.7,12.1,21.6 b,17.9,17.2,15.1,13.5,9.7,14.3,11.1
Annual,Percentage,Total,Total,Less than 18 years,Switzerland,8.7,7.0,7.7 b,7.8,8.4,8.4,10.5,11.2,10.8,11.6,8.7,11.3
Annual,Percentage,Total,Total,Less than 18 years,Cyprus,3.1,4.5,4.2,3.8,3.4,2.6,1.8,2.6,1.5,2.0,2.2,1.7
Annual,Percentage,Total,Total,Less than 18 years,Czechia,9.0,11.5,9.6,10.6,8.5,8.1,6.8,6.4,6.0,6.2,6.5,8.6
Annual,Percentage,Total,Total,Less than 18 years,Germany,13.2,11.5,11.4,11.4,10.7,9.9,9.4,9.5,7.9 b,9.2,9.4,11.4 b
Annual,Percentage,Total,Total,Less than 18 years,Denmark,11.9,11.1,8.3,7.4,6.7,6.6,4.6,5.6,5.8 b,6.8,5.4,7.9
Annual,Percentage,Total,Total,Less than 18 years,Euro area - 19 countries  (2015-2022),10.8,10.6,10.5,10.9,9.7,8.9,8.4,8.5,7.5,7.8 e,:,:
Annual,Percentage,Total,Total,Less than 18 years,Euro area – 20 countries (from 2023),:,:,10.4,10.8,9.6,8.9,8.4,8.5,7.5,8.9,7.3,7.8
Annual,Percentage,Total,Total,Less than 18 years,Estonia,7.1,7.8,8.1 b,8.5,4.2,3.8,2.7,3.7,3.1,3.7,2.9,5.7
Annual,Percentage,Total,Total,Less than 18 years,Greece,38.4,44.0,51.8,54.5,50.1,47.7,48.3,43.6,42.4,35.7,30.0,29.9
Annual,Percentage,Total,Total,Less than 18 years,Spain,14.4,13.7,14.2,14.0,14.0,13.4,10.9,11.0,10.3,13.2,11.5,11.1
Annual,Percentage,Total,Total,Less than 18 years,European Union - 27 countries (2007-2013),10.5,10.6,11.0,10.9,10.0,9.5,9.4,9.3 e,:,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,European Union - 27 countries (from 2020),11.1,11.0,10.6 e,10.7 e,9.7 e,8.8 e,8.1 e,8.0 e,6.9,7.7,6.9,7.6
Annual,Percentage,Total,Total,Less than 18 years,European Union - 28 countries (2013-2020),10.5,10.6,10.9,10.8,10.0,9.5,9.4,9.3 e,:,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,Finland,2.4,3.3,3.0,2.2,2.1,2.1,1.9,1.7,1.1,1.4,1.8,2.6
Annual,Percentage,Total,Total,Less than 18 years,France,3.8,3.9,3.5,4.6,3.4,3.0,3.2,3.8,3.8 b,:,4.1 b,4.4
Annual,Percentage,Total,Total,Less than 18 years,Croatia,5.4,8.3,7.2,5.4,5.1,4.9,3.7,3.3,3.0,2.9,2.3,1.9
Annual,Percentage,Total,Total,Less than 18 years,Hungary,15.0,15.6,14.0,8.2,9.1,10.2,9.3,3.2,5.7,1.8,5.6,11.4
Annual,Percentage,Total,Total,Less than 18 years,Ireland,6.9,3.9,5.7,4.8,4.1,4.5,3.2,5.8 b,4.4 b,2.7,4.2,4.7
Annual,Percentage,Total,Total,Less than 18 years,Iceland,9.4,9.7,8.3,8.3,5.3,8.2,9.2,16.0,:,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,Italy,10.5,11.2,10.2,10.9,10.7,9.4,9.2,9.9,7.7,7.2,5.5,4.6
Annual,Percentage,Total,Total,Less than 18 years,Lithuania,7.3,8.8,7.1,10.1,6.9,7.3,6.7,4.1,2.2,2.3,2.7,5.1
Annual,Percentage,Total,Total,Less than 18 years,Luxembourg,5.1,6.0,7.6,5.4,6.1 b,6.6,9.7,11.0,8.2 b,3.9 b,8.1 b,12.2
Annual,Percentage,Total,Total,Less than 18 years,Latvia,10.7,10.3,9.2,7.9,5.7,5.7,5.7,3.0,3.7,3.8,3.6,5.3
Annual,Percentage,Total,Total,Less than 18 years,Montenegro,:,22.2,20.7,19.7,18.3,16.8,17.9,12.9,11.6,9.1,6.6,:
Annual,Percentage,Total,Total,Less than 18 years,North Macedonia,22.2,18.3,17.3,14.1,15.0,14.9,11.7,11.3,10.0,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,Malta,3.2,3.3,1.9,1.1,1.5,1.7,1.6,2.9,2.6,3.0,3.4,8.3 b
Annual,Percentage,Total,Total,Less than 18 years,Netherlands,13.4,14.8,11.2,13.0,4.8 b,4.0,4.3,3.6,3.3,1.8,2.5,3.1
Annual,Percentage,Total,Total,Less than 18 years,Norway,8.1,8.3,5.9,6.2,7.9,7.3,8.5,8.7,6.9,10.4 b,10.4,12.3
Annual,Percentage,Total,Total,Less than 18 years,Poland,9.8,10.7,9.7,8.3,7.6,4.9,3.7,3.9,2.5 b,3.3,3.8,4.1
Annual,Percentage,Total,Total,Less than 18 years,Portugal,12.6,12.4,11.9,11.8,9.4,7.2,7.3,6.9,5.3,7.4,6.2,6.9
Annual,Percentage,Total,Total,Less than 18 years,Romania,20.0,18.4,16.7,17.5,14.9,11.5,10.5,8.4,5.9,6.3,6.7,8.2
Annual,Percentage,Total,Total,Less than 18 years,Serbia,:,32.3,35.7,37.4,34.3,37.4,35.1,24.9,18.6,14.4,11.5,:
Annual,Percentage,Total,Total,Less than 18 years,Sweden,5.1,4.5,4.6,5.4,5.6,5.2,4.8,6.6,4.6,3.9,3.8,5.8
Annual,Percentage,Total,Total,Less than 18 years,Slovenia,4.3,5.7,6.2,5.6,5.2,4.5,3.7,3.5,3.9,3.1,2.8,3.2
Annual,Percentage,Total,Total,Less than 18 years,Slovakia,10.9,11.0,11.8,11.4,9.2,8.9,4.0,8.2,3.0,9.6,2.9,6.8
Annual,Percentage,Total,Total,Less than 18 years,Türkiye,11.7,14.4,12.5,12.5,12.2,11.6,11.8,12.9,11.6,14.2,13.6,16.9
Annual,Percentage,Total,Total,Less than 18 years,United Kingdom,6.3 b,7.8,12.9 b,11.5,11.8,14.1 b,17.0,:,:,:,:,:
