Time frequency,Unit of measure,Income and living conditions indicator,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Austria,14.1,13.9,14.1,14.4,14.3,13.3,13.9,14.7,14.8,14.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Belgium,15.5,14.9,15.5,15.9,16.4,14.8 b,14.1,12.7,13.2,12.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Bulgaria,21.8,22.0,22.9 b,23.4,22.0,22.6,23.8,22.1,22.9,20.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Switzerland,13.8,15.6,14.7,15.5,14.6,16.0,15.5,14.7,15.8,16.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Cyprus,14.4,16.2,16.1,15.7,15.4,14.7,14.3,13.8,13.9,13.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Czechia,9.7,9.7,9.7,9.1,9.6,10.1,9.5,8.6,10.2,9.8
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Germany,16.7,16.7,16.5,16.1,16.0,14.8,16.1 b,16.0,14.8,14.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Denmark,12.1,12.2,11.9,12.4,12.7,12.5,12.1 b,12.3,12.4,11.8
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",17.1,17.2,17.4,17.0,17.0,16.4,16.8 b,17.0,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Euro area - 18 countries (2014),17.1,17.2,17.4,17.0,16.9,16.4,16.7 b,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Euro area - 19 countries  (2015-2022),17.2,17.2,17.4,17.0,17.0,16.4,16.8 b,17.0,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Estonia,21.8,21.6,21.7,21.0,21.9,21.7,20.7,20.6,22.8,22.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Greece,22.1,21.4,21.2,20.2,18.5,17.9,17.7,19.6,18.8,18.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Spain,22.2,22.1,22.3,21.6,21.5,20.7,21.0,21.7,20.4,20.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",17.2,17.3,17.3,16.9,17.1,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,European Union - 27 countries (2007-2013),17.2,17.3,17.3,16.9,17.0,:,:,:,:,:
