Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of total expenditure,Administration costs,Euro area - 19 countries  (2015-2022),3.55 e,3.54 e,3.46 e,3.43 e,3.37 e,3.22 e,3.21 p,3.26 p,3.18 p,3.19 p,2.99 p,3.03 p
Annual,Percentage of total expenditure,Administration costs,Euro area – 20 countries (from 2023),3.55 e,3.54 e,3.46 e,3.43 e,3.36 e,3.21 e,3.21 p,3.26 p,3.18 p,3.19 p,2.98 p,3.02 p
Annual,Percentage of total expenditure,Administration costs,Estonia,1.1,1.18,1.18,1.21,1.19,1.3,1.57,1.45,1.42,1.68,1.86,2.01
Annual,Percentage of total expenditure,Administration costs,Greece,1.51,1.77,2.13,1.59,1.09,0.99,0.94 p,0.9 p,0.91 p,0.89 p,0.81 p,0.88 p
Annual,Percentage of total expenditure,Administration costs,Spain,1.79,1.87,1.9,1.81,1.82,1.74,1.75,1.71,1.65 e,1.55 e,1.59,1.79
Annual,Percentage of total expenditure,Administration costs,European Union - 27 countries (from 2020),3.4 e,3.41 e,3.36 e,3.33 e,3.27 e,3.13 e,3.14 p,3.18 p,3.09 p,3.12 p,2.91 p,2.95 p
Annual,Percentage of total expenditure,Administration costs,Finland,2.65,2.55,2.6,2.5,1.72,1.67,1.7,1.72,1.67,1.59,1.66,1.59
Annual,Percentage of total expenditure,Administration costs,France,4.18,4.18,4.07,4.09,4.09,3.81,3.84,3.95,3.66,4.16,3.43 p,3.24 p
Annual,Percentage of total expenditure,Administration costs,Croatia,1.99 e,1.86 e,1.9 e,1.72 e,1.62 e,1.51 e,1.51 e,1.57 e,1.6 e,1.59 e,1.55,1.55
Annual,Percentage of total expenditure,Administration costs,Hungary,1.04,1.02,1.16,1.29,1.47 b,1.5,1.52,1.54,1.64,1.92,1.91,1.9
Annual,Percentage of total expenditure,Administration costs,Ireland,4.02,3.56,3.76,3.88,4.17,4.12,4.14,4.04,4.07,3.78,3.43,3.63
Annual,Percentage of total expenditure,Administration costs,Iceland,1.01,0.9,0.92,0.78,0.79,0.62,0.74,0.8,0.67,0.65,0.92,1.17
Annual,Percentage of total expenditure,Administration costs,Italy,2.42,2.41,2.33,2.2,2.21,2.17,2.12,2.08,2.04 p,1.95 p,1.98 p,2.01 p
Annual,Percentage of total expenditure,Administration costs,Lithuania,2.77,2.55,2.82,2.84,3.01,2.97,2.68,2.43,2.22,2.12 p,2.34 p,2.06
Annual,Percentage of total expenditure,Administration costs,Luxembourg,1.49,1.46,1.49,1.45,1.41,1.51,1.46,1.39,1.34,1.25,1.28,1.18
Annual,Percentage of total expenditure,Administration costs,Latvia,1.67 e,1.42 e,1.69 e,1.39 e,1.42 e,1.44 e,1.44 e,1.46 e,1.36 e,1.39 e,1.3 e,1.41
Annual,Percentage of total expenditure,Administration costs,Montenegro,:,:,:,:,:,2.59,2.79,2.74,2.79,2.62,2.35 p,2.02 p
Annual,Percentage of total expenditure,Administration costs,North Macedonia,:,:,:,:,0.21,0.2,0.18,:,:,:,:,:
Annual,Percentage of total expenditure,Administration costs,Malta,1.01 e,1.03 e,1.05 e,1.03 e,1.04 e,1.09 e,0.98,0.98,1.01,0.83,0.86,0.95
Annual,Percentage of total expenditure,Administration costs,Netherlands,7.2,7.23,6.43,6.67,6.18,5.17,5.03,5.38,5.61,4.95,4.67,5.24
Annual,Percentage of total expenditure,Administration costs,Norway,1.95,1.99,1.99,1.9,1.84,1.82,1.77,1.74,1.66,1.68,1.68,1.61
Annual,Percentage of total expenditure,Administration costs,Poland,2.41,2.4,2.18,2.17,2.12,1.92,2.26,2.14,1.67,1.67,1.63,1.75
Annual,Percentage of total expenditure,Administration costs,Portugal,1.53,1.43,1.45,1.47,1.45,1.38,1.32,1.4,1.57,1.49,1.48,1.52
Annual,Percentage of total expenditure,Administration costs,Romania,0.94,1.05,2.05,2.06,2.17,1.52,1.92,1.83,1.87,4.23,1.91,1.6
Annual,Percentage of total expenditure,Administration costs,Serbia,2.1,2.04,1.95,1.77,1.66,1.91,1.74,1.59,1.66,5.32,3.99,3.32
Annual,Percentage of total expenditure,Administration costs,Sweden,1.9,1.94,1.9,1.92,1.99,1.94,2.0,1.95,1.93,1.86 p,1.74 p,1.8 p
Annual,Percentage of total expenditure,Administration costs,Slovenia,1.6,1.61,1.51,1.58,1.55,1.52,1.49,1.44,1.46,1.24 p,1.2 p,1.24
Annual,Percentage of total expenditure,Administration costs,Slovakia,2.63,2.57,2.57,2.61,2.44,2.55,2.55,2.46,2.62,2.29,1.87,1.93
Annual,Percentage of total expenditure,Administration costs,Türkiye,1.45,1.46 e,1.74,1.68,1.79,1.65,1.8,1.43,1.57 e,1.3 e,1.41 e,1.71
Annual,Percentage of total expenditure,Administration costs,United Kingdom,1.31,1.23,1.12,0.88,0.79,0.76,0.7,0.7 p,:,:,:,:
