Time frequency,Species,fishreg,unit,geo\TIME_PERIOD,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
Annual,Total aquatic animals,71.0,TLW,ES,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,327.0,10957.0
Annual,Total aquatic animals,71.0,TLW,EU15,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total aquatic animals,71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total aquatic animals,71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total aquatic animals,71_NK,TLW,ES,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total aquatic animals,71_NK,TLW,EU15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total aquatic animals,71_NK,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total aquatic animals,71_NK,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish,71.0,TLW,EEA18,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,Total finfish,71.0,TLW,EEA28,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,Total finfish,71.0,TLW,EEA30_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,Total finfish,71.0,TLW,ES,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,327.0,10957.0
Annual,Total finfish,71.0,TLW,EU15,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish,71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish,71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish,71_NK,TLW,ES,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish,71_NK,TLW,EU15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish,71_NK,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish,71_NK,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish and shellfish,71.0,TLW,EEA18,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,Total finfish and shellfish,71.0,TLW,EEA28,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,Total finfish and shellfish,71.0,TLW,EEA30_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,Total finfish and shellfish,71.0,TLW,ES,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,327.0,10957.0
Annual,Total finfish and shellfish,71.0,TLW,EU15,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish and shellfish,71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish and shellfish,71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish and shellfish,71_NK,TLW,ES,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish and shellfish,71_NK,TLW,EU15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish and shellfish,71_NK,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Total finfish and shellfish,71_NK,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Marine fishes,71.0,TLW,EEA18,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,Marine fishes,71.0,TLW,EEA28,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,Marine fishes,71.0,TLW,EEA30_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,Marine fishes,71.0,TLW,ES,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,327.0,10957.0
Annual,Marine fishes,71.0,TLW,EU15,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Marine fishes,71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Marine fishes,71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5583.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Marine fishes,71_NK,TLW,ES,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Marine fishes,71_NK,TLW,EU15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Marine fishes,71_NK,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,Marine fishes,71_NK,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,"Tunas, bonitos, billfishes",71.0,TLW,EEA18,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5582.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,"Tunas, bonitos, billfishes",71.0,TLW,EEA28,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5582.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,"Tunas, bonitos, billfishes",71.0,TLW,EEA30_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5582.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,:
Annual,"Tunas, bonitos, billfishes",71.0,TLW,ES,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5582.0,3449.0,11653.0,20538.0,35570.0,26819.0,327.0,10957.0
Annual,"Tunas, bonitos, billfishes",71.0,TLW,EU15,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5582.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,"Tunas, bonitos, billfishes",71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5582.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,"Tunas, bonitos, billfishes",71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,7176.0,12896.0,2402.0,: m,: m,5582.0,3449.0,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,"Tunas, bonitos, billfishes",71_NK,TLW,ES,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,"Tunas, bonitos, billfishes",71_NK,TLW,EU15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,"Tunas, bonitos, billfishes",71_NK,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,"Tunas, bonitos, billfishes",71_NK,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11653.0,20538.0,35570.0,26819.0,:,10957.0
Annual,"Sharks, rays, chimaeras",71.0,TLW,EEA18,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Sharks, rays, chimaeras",71.0,TLW,EEA28,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Sharks, rays, chimaeras",71.0,TLW,EEA30_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Sharks, rays, chimaeras",71.0,TLW,ES,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
