code,measure
mar_sg_am_pwb,Gross weight of dry bulk goods transported in short sea shipping from/to the top 5 ports for dry bulk goods
mar_sg_am_pwc,Gross weight of goods in containers transported in short sea shipping from/to the top 5 ports for goods in containers
mar_sg_am_pwl,Gross weight of liquid bulk goods transported in short sea shipping from/to the top 5 ports for liquid bulk goods
mar_sg_am_pwr,Gross weight of goods in Ro-ro units transported in short sea shipping from/to the top 5 ports for goods in Ro-ro units
mar_tp_go,Maritime goods transport performed in the Exclusive Economic Zone of the countries
mar_tp_pa,Maritime passenger transport performed in the Exclusive Economic Zone of the countries
mar_tp_sss,Maritime goods short-sea shipping performed in the Exclusive Economic Zone of the countries
mar_v_est,Vessels arriving in main ports by type of vessels (estimates) - experimental statistics
med_ag1,Structural information
med_ag2,Crop production
med_ag31,Meat (total production)
med_ag32,Annual production and utilisation of milk on the farm
med_ag33,Livestock in number of heads
med_ag34,Poultry farming
med_ag41,Annual captures of fish - live weight in tonnes - by fishing areas
med_ag42,Annual aquaculture production - live weight in tonnes
med_ag50,Economic accounts for agriculture (EAA)
med_ag51,Price indices of agricultural input/output at nominal value = 100)
med_air1,Air transport infrastructure: airports
med_air2,Air transport infrastructure: length of paved runways
med_air3,Air transport equipment: number of aircrafts
med_air4,Air transport traffic: number of aircraft movements
med_air5,Air transport traffic: freight and passengers
med_ec0,Additional indicators
med_ec1,Gross domestic product
med_ec2,Final consumption expenditure
med_ec3,Gross capital formation
med_ec4,International trade as a share of GDP
med_ec5,Gross value added
med_ec6,Balancing items
med_ec7,Debts
med_ec8,Prices (annual series)
med_ec9,Exchange rates
med_eg10,Primary energy production
med_eg20,Secondary energy production (transformation)
med_eg30,Energy consumption
med_eg_all,Energy - historical data former methodology and source)
med_en1,GHG (Green House Gases) emissions
med_en2,Air emissions per sector and per gas
med_en21,Municipal waste
med_en22,Generation of waste by sector
med_en23,Composition of municipal waste
med_en24,Treatment and disposal facilities
med_en25,Management of waste
med_en3,Local pollution
med_en41,Renewable freshwater resources
med_en42,Water use balance
med_en43,Freshwater abstraction
med_en44,Water supplied and used by economic sectors
med_en46,Urban wastewater treatment
med_en47,Population connected to Wastewater Treatment
med_en51,Protected areas
med_en52,Number of known species
med_en53,Percentage of threatened species
med_en61,Landuse
med_en62,Forest and irrigated land
med_en63,Erosion
med_ma1,Maritime transport infrastructure: ports
med_ma2,Maritime equipment - number of ships of 1 000 grt and over
med_ma3,Maritime equipment - number of ships of 300 grt and over
med_ma4,Maritime equipment - carrying capacity of ships of 1 000 grt and over
med_ma5,Maritime equipment - carrying capacity of ships of 300 grt and over
med_ma6,Maritime traffic: ship movements
med_ma7,Maritime traffic: passengers and freight
med_ps111,General indicators
med_ps112,Population on 1 January by sex and by age group
med_ps115,Average population (mid-year)
med_ps12,Demographic indicators
med_ps21,Literacy
med_ps22,General education
med_ps23,Higher education
med_ps24,Quality of education
med_ps25,Technical and vocational education training (TVET)
med_ps26,Public expenditure on education
med_ps311,Poverty lines
med_ps312,At-risk-of poverty rate
med_ps313,Poverty ratio
med_ps32,Access to basic services and housing
med_ps33,Communication
med_ps411,Employment
med_ps412,Economic activity
med_ps413,Employment characteristics
med_ps414,Employment and economic activity branches
med_ps421,Unemployment rate
med_ps422,Unemployment rate by education level
med_ps423,Proportion of persons living in jobless households
med_ps43,Wages
med_ra1,Rail infrastructure: length of network
med_ra2,Rail equipment: number of locomotives and passenger railways vehicles
med_ra3,Rail equipment: number and capacity of railways vehicles
med_ra4,Rail equipment: number and load capacity of goods transport wagons
med_ra5,Rail passenger and freight traffic
med_rd1,Road infrastructure: lenght of road network
med_rd2,Road equipment: number of road vehicles by categories
med_rd3,Road equipment: number of road vehicles by age
med_rd4,Road equipment: load capacity of lorries
med_rd5,Road equipment: new registrations by categories
med_rd6,Road traffic: road freight transport in volume
med_rd7,Road accidents: persons killed
med_to11,Main flows
med_to12,Arrivals by type of accommodation
med_to13,Nights spent by type of accommodation
med_to21,Accommodation establishments
med_to22,Number of bed-places
met_d3dens,Population density by metropolitan regions
met_ipr_da,Community design applications by metropolitan regions
met_ipr_dapop,Community design applications per million population by metropolitan regions
met_ipr_dfa,Community designs by metropolitan regions
met_ipr_dfapop,Community designs per million population by metropolitan regions
met_ipr_dr,Registered Community designs (RCD) by metropolitan regions
migr_asyaccm$dv_961,"Asylum applicants having had their applications processed under the accelerated procedure, by age, sex and citizenship - monthly data"
migr_asyapp1mp,First-time asylum applicants - per thousand persons
migr_asyapp1pc,First-time asylum applicants - % of total asylum applicants
migr_asyapp1up,First-time asylum applications of unaccompanied minors - % of total first-time asylum applications of minors
migr_asyappctza$dv_618,"Asylum applicants by type, citizenship, age and sex - annual aggregated data"
migr_asydec1p,Positive first instance decisions - per thousand persons
migr_asydec1pc,Asylum decisions at first instance by type of decision - % of total decisions at first instance
migr_asydecfp,Asylum decisions at final instance by type of decision - % of total decisions at final instance
migr_asymrca,Applicants having benefited from material reception conditions at the end of the reference year - annual data
migr_asypenctzm$dv_723,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data"
migr_asyresa$dv_629,"Resettled persons by age, sex and citizenship - annual data"
migr_asytpfa$dv_1381,"Decisions granting temporary protection by citizenship, age and sex - annual aggregated data"
migr_asytpfm$dv_1383,"Decisions granting temporary protection by citizenship, age and sex - monthly data"
migr_asytpfpop,Decisions granting temporary protection by citizenship - per thousand persons
migr_asytpfq$dv_1382,"Decisions granting temporary protection by citizenship, age and sex - quarterly data"
migr_asytpsm$dv_1384,"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data"
migr_asytpspop,Beneficiaries of temporary protection by citizenship - per thousand persons
migr_asywitha$dv_1021,"Asylum applications withdrawn by citizenship, age, sex and type of withdrawal - annual aggregated data"
migr_eilpop,Persons subject to immigration law enforcement - per thousand persons
migr_eilretpc,Returns by type of return - % of total returns
migr_eiord$dv_1261,Third country nationals ordered to leave - annual data (rounded)
migr_eirtn$dv_1241,Third country nationals returned following an order to leave - annual data (rounded)
migr_emi5nxt,Emigration by group of country of next usual residence
migr_imm12prv,Immigration by broad group of country of previous residence
migr_reschst$dv_1285,"Change of immigration status permits by age, sex and citizenship"
migr_resfpc,First residence permits by reasons - % of total first residence permits
migr_reslas$dv_1283,"Long-term residents by age, sex and citizenship on 31 December of each year"
migr_resltra$dv_1284,"Long-term residence permits issued during the year by age, sex and citizenship"
migr_respop,First residence permits - per thousand persons
migr_resspc,Valid permits by reasons - % of total valid permits
nama_10_fte,Average full time adjusted salary per employee
nama_10_pp,GNI (gross national income) per capita in PPS
nama_10r_3empers$dv_1564,Employment (thousand persons) by NUTS 3 regions
nama_10r_3gdp$dv_1562,Gross domestic product (GDP) at current market prices by NUTS 3 regions
nama_10r_3gva$dv_1563,Gross value added at basic prices by NUTS 3 regions
nrg_125m,Imports - electricity - monthly data
nrg_135m,Exports - electricity - monthly data
nrg_bal_s$dv_650,Simplified energy balances
nrg_chdd_a,Cooling and heating degree days by country - annual data
nrg_d_sercv,Disaggregated final energy consumption in services – calorific values
nrg_dhdc_c,Customers by type of district network and efficiency of network
nrg_dhdc_e,"Energy removed from district networks by customers, type of networks and efficiency of network"
nrg_dhdc_n,Number and length of district networks by type of network and efficiency of network
nrg_ind_di,Diversity index of energy supply
nrg_ind_ep,Energy productivity
nrg_ind_esr,Energy self-reliance
nrg_ind_ffgae,Share of fossil fuels in gross available energy
nrg_ind_id3cf,Import dependency on third countries by fuel type
nrg_ind_idogas,Natural gas import dependency by country of origin
nrg_ind_ren,Share of energy from renewable sources
nrg_inf_stcs,Solar thermal collectors' surface
nrg_pc_202_v,Household consumption volumes of gas by consumption bands
nrg_pc_203_v,Non-household consumption volumes of gas by consumption bands
nrg_pc_204_v,Household consumption volumes of electricity by consumption bands
nrg_pc_205_v,Non-household consumption volumes of electricity by consumption bands
nrg_pc_206,Share for transmission and distribution in the network cost for gas and electricity - annual data
orch_grapes3,Table grape vines - Area by age and density classes (area in ha)
orch_olives1,Olive trees - Area by age classes (area in ha)
orch_olives2,Olive trees - Area by density classes (area in ha)
orch_olives3,Olive trees - Area by age and density classes (area in ha)
orch_total,area by species (area in ha)
org_aprod_h,Organic production of animal products (until
org_aqtspec,Organic production of aquaculture products
org_cpreact_h,Processors of organic products by NACE Rev. 2 activity (C)
org_cropar_h2,Share of organic crop area out of the total utilised agricultural area (UAA) (until
pipe_ec_employ,Persons employed in oil pipeline enterprises by sex
pipe_ec_ent,Oil pipeline enterprises
pipe_ec_invest,Investment and maintenance in oil pipeline infrastructure
pipe_if_capac,Carrying capacity of pipelines operated
pipe_if_lenght,Length of pipelines operated
prc_colc_ext,Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100)
prc_colc_nat,Correction coefficients in the European Union (Countries) - index = 100)
prc_colc_pppnat,Purchasing Power Parities in the European Union (Countries) - index = 1)
prc_colc_ppptot,Purchasing Power Parities in the European Union (Duty stations) - index (Brussels = 1)
prc_colc_surf,Typical dwelling sizes by type of dwelling in each surveyed city
prc_colc_tot,Correction coefficients in the European Union (Duty stations) - index (Brussels = 100)
prc_hicp_cow,HICP - country weights
prc_hpi_hsna,House sales - number and index annual data
prc_hpi_hsva,House sales - value and index annual data
prc_hpi_inw,House price index - Item weights
prc_ppp_conv,Convergence indicators
prc_rem_avg,Average remuneration of national civil servants in central public administration
prc_rem_cs,Remuneration indexes of national civil servants in central public administration
prc_rem_gdp,GDP weights used in the calculation of the global specific indicator
prc_rem_idx,Joint Index
prc_rem_nr,National civil servants in central public administration
qoe_ewcs_1c3,Employed persons discriminated at work during the last 12 months by sex and age
qoe_ewcs_3c3,Mean duration of commuting time one-way between work and home by sex and age
qoe_ewcs_4a5,Employed persons expecting a possible loss of their job in the next 6 months by sex and age
qoe_ewcs_6_1,Employed persons participating in job-related non-formal education and training in the past 12 months by sex and age
qoe_ewcs_6_3,Employed persons perceiving that their job-related non-formal education and training helped to improve the way they work by sex and age
qoe_ewcs_6_4,Employed persons whose job involves improving their skills by sex and age
qoe_ewcs_6_5,Employed persons whose work experience and job skills would be helpful to find another job by sex and age
qoe_ewcs_6_6,Employed persons having the opportunity to use their knowledge and skills in their current job by sex and age
qoe_ewcs_7a1,Employed persons having a good relationship with their colleagues by sex and age
qoe_ewcs_7a2,Employees having a good relationship with their supervisor by sex and age
qoe_ewcs_7a3,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age"
qoe_ewcs_7b1,Employed persons being able to choose their methods of work or to influence their pace of work by sex and age
qoe_ewcs_7b2,Employees receiving regular feedback from their supervisor by sex and age
qoe_ewcs_7b3,Employed persons thinking that they do useful work by sex and age
qoe_ewcs_7b4,Employed persons having to work at very high speed or to tight deadlines by sex and age
qoe_ewcs_7b5,Employed persons being able to influence decisions that affect their work by sex and age
rail_ac_catnmbr,Railway accidents by type of accident - annual data
rail_ac_dnggood,Accidents involving the transport of dangerous goods - annual data
rail_ec_emplo_s,Persons employed in principal railway enterprises by sex (until
rail_ec_ent,Railway enterprises by type of enterprise
rail_ec_expend,Expenditure on rolling stock and railway infrastructure
rail_eq_pa_csb,Seat/berth capacity of passenger railway vehicles
rail_eq_pa_cty,Seat capacity of passenger railway vehicles by type of vehicles
rail_eq_pa_nca,Passenger railway vehicles by category of vehicle (until
rail_eq_pa_nty,"Passenger railway vehicles, by type of vehicle"
rail_eq_trset,Trainsets and capacity by type of speed
rail_eq_vans,Railway transport vans
rail_go_consgmt,Goods transported by type of consignment
rail_go_quartal,Goods transported (detailed reporting only ) - Quarterly data
rail_go_total,Goods transported
rail_if_line_sp,Length of railway lines by maximum permitted speed
rail_if_lvlcros,Level crossings by type
rail_if_tracks,Length of railway tracks by electrification of tracks
rail_if_traff,Length of railway lines equipped with the railway traffic management system by type of signalling
rail_pa_nbcar,"Passenger cars in accompanied passenger car railway transport, by type of transport"
rail_pa_nbpass,"Passengers in accompanied passenger car railway transport, by type of transport"
rail_pa_speed,Passengers transported by type of train speed
rail_pa_total,Passengers transported
rail_tf_hauseat,Hauled passenger railway vehicle traffic performance by type of railway vehicle speed - seat km (until
rail_tf_hautkmo,Hauled vehicle traffic performance - tkm (until
rail_tf_ns10_at,Train traffic on the rail network -
rail_tf_ns10_be,Train traffic on the rail network -
rail_tf_ns10_bg,Train traffic on the rail network -
rail_tf_ns10_dk,Train traffic on the rail network -
rail_tf_ns10_ee,Train traffic on the rail network -
rail_tf_ns10_el,Train traffic on the rail network -
rail_tf_ns10_fi,Train traffic on the rail network -
rail_tf_ns10_hr,Train traffic on the rail network -
rail_tf_ns10_hu,Train traffic on the rail network -
rail_tf_ns10_ie,Train traffic on the rail network -
rail_tf_ns10_li,Train traffic on the rail network -
rail_tf_ns10_lt,Train traffic on the rail network -
rail_tf_ns10_lu,Train traffic on the rail network -
rail_tf_ns10_lv,Train traffic on the rail network -
rail_tf_ns10_mk,Train traffic on the rail network - the Former Yugoslav Republic of Macedonia
rail_tf_ns10_no,Train traffic on the rail network -
rail_tf_ns10_pt,Train traffic on the rail network -
rail_tf_ns10_ro,Train traffic on the rail network -
rail_tf_ns10_si,Train traffic on the rail network -
rail_tf_ns10_sk,Train traffic on the rail network -
rail_tf_ns10_tr,Train traffic on the rail network -
rail_tf_ns15_be,Train traffic on the rail network -
rail_tf_ns15_bg,Train traffic on the rail network -
rail_tf_ns15_cz,Train traffic on the rail network - Czech Republic
rail_tf_ns15_dk,Train traffic on the rail network -
rail_tf_ns15_ee,Train traffic on the rail network -
rail_tf_ns15_fi,Train traffic on the rail network -
rail_tf_ns15_hr,Train traffic on the rail network -
rail_tf_ns15_hu,Train traffic on the rail network -
rail_tf_ns15_ie,Train traffic on the rail network -
rail_tf_ns15_li,Train traffic on the rail network -
rail_tf_ns15_lt,Train traffic on the rail network -
rail_tf_ns15_lu,Train traffic on the rail network -
rail_tf_ns15_lv,Train traffic on the rail network -
rail_tf_ns15_mk,Train traffic on the rail network - the Former Yugoslav Republic of Macedonia
rail_tf_ns15_no,Train traffic on the rail network -
rail_tf_ns15_pt,Train traffic on the rail network -
rail_tf_ns15_ro,Train traffic on the rail network -
rail_tf_ns15_si,Train traffic on the rail network -
rail_tf_ns15_sk,Train traffic on the rail network -
rail_tf_ns15_tr,Train traffic on the rail network -
rail_tf_ns20_bg,Train traffic on the rail network -
rail_tf_ns20_cz,Train traffic on the rail network -
rail_tf_ns20_dk,Train traffic on the rail network -
rail_tf_ns20_ee,Train traffic on the rail network -
rail_tf_ns20_el,Train traffic on the rail network -
rail_tf_ns20_fi,Train traffic on the rail network -
rail_tf_ns20_hr,Train traffic on the rail network -
rail_tf_ns20_hu,Train traffic on the rail network -
rail_tf_ns20_ie,Train traffic on the rail network -
rail_tf_ns20_lt,Train traffic on the rail network -
rail_tf_ns20_lu,Train traffic on the rail network -
rail_tf_ns20_lv,Train traffic on the rail network -
rail_tf_ns20_mk,Train traffic on the rail network - North Macedonia
rail_tf_ns20_no,Train traffic on the rail network -
rail_tf_ns20_pt,Train traffic on the rail network -
rail_tf_ns20_ro,Train traffic on the rail network -
rail_tf_ns20_si,Train traffic on the rail network -
rail_tf_ns20_sk,Train traffic on the rail network -
rail_tf_ns20_tr,Train traffic on the rail network -
rail_tf_ns_at,Train traffic on the rail network -
rail_tf_ns_be,Train traffic on the rail network -
rail_tf_ns_dk,Train traffic on the rail network -
rail_tf_ns_ee,Train traffic on the rail network -
rail_tf_ns_el,Train traffic on the rail network -
rail_tf_ns_fi,Train traffic on the rail network -
rail_tf_ns_hu,Train traffic on the rail network - Hungaria
rail_tf_ns_ie,Train traffic on the rail network -
rail_tf_ns_li,Train traffic on the rail network -
rail_tf_ns_lt,Train traffic on the rail network -
rail_tf_ns_lu,Train traffic on the rail network -
rail_tf_ns_lv,Train traffic on the rail network -
rail_tf_ns_no,Train traffic on the rail network -
rail_tf_ns_pt,Train traffic on the rail network -
rail_tf_ns_si,Train traffic on the rail network -
rail_tf_ns_sk,Train traffic on the rail network -
rail_tf_ns_tr,Train traffic on the rail network -
rail_tf_passmov,Passenger train traffic performance by type of train speed
rail_tf_trainmv,Goods and passenger train traffic performance
rd_b_berdcon,BERD by concentration of personnel (ranking)
rd_p_con,R&D personnel and researchers in the business enterprise sector by concentration of personnel (ranking)
rd_p_sen,Researchers in the higher education sector by seniority category
road_ec_empl,Persons employed in goods road transport enterprises by employment size classes
road_ec_empl_s,Persons employed in goods road transport enterprises by sex
road_ec_entemp,Goods road transport enterprises by employment size classes
road_ec_entveh,Goods road transport enterprises by number of vehicles
road_ec_invest,Expenditure on road transport vehicles and road infrastructure
road_eqr_bum,"New motor coaches, buses and trolley buses by type of motor energy (until"
road_eqr_bussea,"Seat capacity of new motor coaches, buses and trolley buses"
road_eqr_busveh,"New motor coaches, buses and trolley buses , by type of vehicles"
road_eqr_carbua,"New passenger cars, motor coaches, buses and trolley buses by alternative motor energy (until"
road_eqr_loralt,New lorries by alternative motor energy and load capacity of +/- 1500 kg (until
road_eqr_lsttt,"Load capacity of new lorries, semi-trailers and trailers, by type of carriage (until"
road_eqr_mopeds,New mopeds and motorcycles by type of motor energy
road_eqr_motors,New motorcycles by engine size
road_eqr_semit,"New semi-trailers and their load capacity, by permissible maximum gross weight"
road_eqr_spurp,New special purpose road vehicles
road_eqr_tracm,New road tractors by type of motor energy (until
road_eqr_trail,"New trailers and their load capacity, by permissible maximum gross weight"
road_eqr_trailn,New trailers and their load capacity (until
road_eqr_trams,New trams
road_eqs_busmot_h,"New motor coaches, buses and trolley buses by type of motor energy (until"
road_eqs_bussea,"Seats /berths in motor coaches, buses and trolley buses"
road_eqs_busveh,"Motor coaches, buses and trolley buses, by type of vehicle"
road_eqs_carage,Passenger cars by age
road_eqs_caralt,Passenger cars by alternative motor energy (until
road_eqs_carhab,Passenger cars - per thousand inhabitants
road_eqs_motorc,Motorcycles by engine size
road_eqs_roaene_h,Road tractors by type of motor energy (until
road_eqs_semit,"Semi-trailers and their load capacity, by permissible maximum gross weight"
road_eqs_semitn,Semi-trailers by load capacity (until
road_eqs_spurp,Special purpose road vehicles
road_eqs_trail,"Trailers and their load capacity, by permissible maximum gross weight"
road_eqs_trailn,Trailers by load capacity (until
road_eqs_trams,Trams
road_eqs_unlweig,Passenger cars by unloaded weight
road_go_ca_c,"Road cabotage transport by country in which cabotage takes place (t, tkm) - (from onwards)"
road_go_ca_d_c,Road cabotage transport by country in which cabotage takes place (tkm) -
road_go_ca_d_ha,Road cabotage transport performed by each reporting country (tkm) -
road_go_na_rl3g$dv_1581,National road freight transport by region of loading (NUTS 3) and type of goods (t) - annual data (from onwards)
road_go_na_ru3g$dv_1582,National road freight transport by region of unloading (NUTS 3) and type of goods (t) - annual data (from onwards)
road_if_barea,Length of other roads within/outside built-up areas
road_if_bsurfa,Length of paved and unpaved roads
road_if_motorwa,Length of motorways and e-roads
road_pa_mov,National passenger road transport performance by type of vehicles registered in the reporting country
road_tert_go,"Territorialised road freight transport, by transport coverage – annual data"
road_tf_buscoa,Buses and coaches traffic performance registered in the reporting country by transport covarage
sbs_cre_gbneea,Business written in non-EEA countries
sbs_cre_gneea,Number of branches in non-EEA countries
sbs_cre_pacc,Number of accounts linked to CPA categories
sbs_cre_pcpay,Commissions payable by product
sbs_cre_pcrec,Commissions receivable by product
sbs_cre_pintpay,Interests payable and similar charges by product
sbs_cre_pintrex,Interests receivable and similar income by product
sbs_cre_ploans,Number of loans and advances to customers linked to CPA categories
sbs_part_wtstck,"Enterprises in wholesale trade, repair of vehicles and motorcycles (NACE Rev.2, G) - changes in stocks"
sbs_pen_7b1,Autonomous pension funds - number of enterprises by size class of investments
sbs_pen_7b2,Autonomous pension funds - number of enterprises by size class of members
sbs_pen_7c,Autonomous pension funds - total investments by currencies
sbs_pen_7e,Non-autonomous pension funds
sbs_pen_enteea,Enterprises with members in other countries
sdg_01_10,Persons at risk of poverty or social exclusion
sdg_01_10a,Persons at risk of poverty or social exclusion by degree of urbanisation
sdg_01_20,Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys
sdg_01_20a,Persons at risk of monetary poverty after social transfers by citizenship
sdg_01_31,Severe material and social deprivation rate by age group and sex
sdg_01_40,"Persons living in households with very low work intensity, by age group"
sdg_01_41,In work at-risk-of-poverty rate
sdg_01_50,Housing cost overburden rate by poverty status
sdg_02_10,Obesity rate by body mass index (BMI)
sdg_02_20,Agricultural real factor income per annual work unit (AWU)
sdg_02_30,Government support to agricultural research and development
sdg_02_40,Area under organic farming
sdg_02_53,Use and risk of chemical pesticides
sdg_02_60,Ammonia emissions from agriculture
sdg_03_11,Healthy life years at birth by sex
sdg_03_20,Share of people with good or very good perceived health by sex
sdg_03_30,Smoking prevalence by sex
sdg_03_41,"Standardised death rate due to tuberculosis, HIV and hepatitis by type of disease"
sdg_03_42,Standardised preventable and treatable mortality
sdg_03_60,Self-reported unmet need for medical examination and care by sex
sdg_03_70,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
sdg_04_10,Early leavers from education and training by sex
sdg_04_10a,"Early leavers from education and training, by citizenship"
sdg_04_20,Tertiary educational attainment by sex
sdg_04_40,"Low achieving 15-year-olds in reading, mathematics or science"
sdg_04_60,Adult participation in learning in the past four weeks by sex
sdg_05_10,Physical and sexual violence to women by age group data)
sdg_05_20,Gender pay gap in unadjusted form
sdg_05_30,"Gender employment gap, by type of employment"
sdg_05_40,Persons outside the labour force due to caring responsibilities by sex
sdg_05_50,Seats held by women in national parliaments and governments
sdg_05_60,Positions held by women in senior management positions
sdg_06_10,"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status"
sdg_06_20,Population connected to at least secondary wastewater treatment
sdg_06_30,Biochemical oxygen demand in rivers
sdg_06_40,Nitrate in groundwater
sdg_06_50,Phosphate in rivers
sdg_06_60,"Water exploitation index, plus (WEI+)"
sdg_07_10,Primary energy consumption
sdg_07_11,Final energy consumption
sdg_07_20,Final energy consumption in households per capita
sdg_07_30,Energy productivity
sdg_07_40,Share of renewable energy in gross final energy consumption by sector
sdg_07_50,Energy import dependency by products
sdg_07_60,Population unable to keep home adequately warm by poverty status
sdg_08_10,Real GDP per capita
sdg_08_11,Investment share of GDP by institutional sectors
sdg_08_20,Young people neither in employment nor in education and training by sex (NEET)
sdg_08_20a,"Young people neither in employment nor in education and training (NEET), by citizenship"
sdg_08_30,Employment rate by sex
sdg_08_30a,"Employment rate, by citizenship"
sdg_08_40,Long-term unemployment rate by sex
sdg_08_60,"Fatal accidents at work per 100 000 workers, by sex"
sdg_09_40,Patent applications to the European Patent Office by applicants' / inventors' country of residence
sdg_09_50,Share of buses and trains in inland passenger transport
sdg_09_60,Share of rail and inland waterways in inland freight transport
sdg_09_70,Air emission intensity from industry
sdg_10_10,Purchasing power adjusted GDP per capita
sdg_10_20,Adjusted gross disposable income of households per capita
sdg_10_30,Relative median at-risk-of-poverty gap
sdg_10_41,Income distribution
sdg_10_50,Income share of the bottom 40 % of the population
sdg_10_60,Asylum applications by state of procedure
sdg_11_11,Severe housing deprivation rate by poverty status
sdg_11_20,"Population living in households considering that they suffer from noise, by poverty status"
sdg_11_31,Settlement area per capita
sdg_11_32,Soil sealing index
sdg_11_52,Premature deaths due to exposure to fine particulate matter (PM2.5)
sdg_11_60,Recycling rate of municipal waste
sdg_12_10,Consumption of chemicals by hazardousness - aggregate
sdg_12_21,Raw material consumption (RMC)
sdg_12_31,Consumption footprint – single weighted score
sdg_12_51,Generation of waste by hazardousness
sdg_12_61,Gross value added in environmental goods and services sector
sdg_13_31,Average CO2 emissions per km from new passenger cars (source: DG CLIMA) - HIDDEN DAT
sdg_13_40,Climate related economic losses – values at constant prices
sdg_13_50,Contribution to the international 100bn USD commitment on climate related expending
sdg_13_60,Population covered by the Covenant of Mayors for Climate & Energy signatories
sdg_13_70,Green bond issuance by type of issuer
sdg_13_70a,Green bond issuance by corporates and governments
sdg_14_10,Surface of the marine protected areas
sdg_14_21,"Estimated trends in fish stock biomass, by fishing areas"
sdg_14_30,"Estimated trends in fishing pressure, by fishing area"
sdg_14_40,Bathing sites with excellent water quality by location
sdg_14_50,Global mean surface seawater acidity
sdg_14_60,Marine waters affected by eutrophication
sdg_15_10,Share of forest area
sdg_15_20,Surface of the terrestrial protected areas
sdg_15_42,Drought impact area on ecosystems
sdg_15_50,Area at risk of severe soil erosion by water
sdg_15_60,Common bird index by type of species - aggregate
sdg_15_61,Grassland butterfly index - aggregate
sdg_16_10,Standardised death rate due to homicide by sex
sdg_16_20,"Population reporting occurrence of crime, violence or vandalism in their area by poverty status"
sdg_16_30,General government total expenditure on law courts
sdg_16_40,Perceived independence of the justice system
sdg_16_50,Corruption Perceptions Index
sdg_16_60,Population with confidence in institutions by institution
sdg_16_70,Victims of trafficking in human beings by sex
sdg_17_10,Official development assistance as share of gross national income
sdg_17_20,financing to developing countries by financing source
sdg_17_40,General government gross debt
sdg_17_50,Share of environmental taxes in total tax revenues
sdg_17_60,"High-speed internet coverage, by type of area"
spr_net_ben$dv_1622,Net social protection benefits
sprt_emp_age,Employment in sport by age
sprt_emp_sex,Employment in sport by sex
sprt_pcs_qnt,Mean consumption expenditure of private households on sporting goods and services by income quintile
sts_tot_prod_a,Market production - annual data
tag00001,Agricultural holdings by agricultural area
tag00007,Agricultural holdings by crops
tag00014,Number of dairy cows
tag00016,Number of bovine animals
tag00017,Number of sheep
tag00018,Number of pigs
tag00020,Farm labour force
tag00027,"Cereals for the production of grain (including seed) by area, production and humidity"
tag00029,Agricultural holdings by age of holder
tag00037,Collection of cow's milk
tag00038,Production of butter
tag00039,Production of milk powder
tag00040,Production of cheese
tag00041,Production of milk on farms
tag00042,Production of pigmeat in slaughterhouses
tag00043,Production of poultry meat in slaughterhouses
tag00044,Production of bovine meat in slaughterhouses
tag00045,Production of sheepmeat and goat meat in slaughterhouses
tag00046,"Producer price indices, total agricultural production"
tag00047,"Wheat and spelt by area, production and humidity"
tag00048,"Producer price indices, crop products"
tag00049,"Rye and winter cereal mixtures by area, production and humidity"
tag00050,"Producer price indices, animals and animal products"
tag00051,"Barley by area, production and humidity"
tag00052,"Purchase price indices, total means of agricultural production"
tag00053,"Oats and spring cereal mixtures by area, production and humidity"
tag00054,Crop output - basic and producer prices
tag00055,Animal output - basic and producer prices
tag00056,Gross value added of the agricultural industry - basic and producer prices
tag00057,Indicator A of the income from agricultural activity
tag00059,Selling prices of soft wheat
tag00060,Selling prices of barley
tag00061,Selling prices of oats
tag00062,Selling prices of maize
tag00063,Selling prices of main crop potatoes
tag00064,Selling prices of sugar beet (unit value)
tag00065,Selling prices of calves
tag00066,Selling prices of pigs (light)
tag00067,Selling prices of piglets
tag00068,Selling prices of chickens (live 1st choice)
tag00069,Selling prices of sheep
tag00070,Selling prices of raw cow's milk
tag00071,Selling prices of fresh eggs
tag00075,Aquaculture production in tonnes and value
tag00076,Catches in all fishing regions
tag00083,"Fishing fleet, total tonnage"
tag00093,"Grain maize and corn-cob-mix by area, production and humidity"
tag00094,"Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses) by area, production and humidity"
tag00100,"Rape, turnip rape, sunflower seeds and soya by area"
tag00101,"Green maize by area, production and humidity"
tag00102,Output of the agricultural industry - basic and producer prices
tag00103,Root crops and plants harvested green from arable land by area
tag00115,Fresh vegetables and strawberries by area
tag00116,"Fishing Fleet, Number of Vessels"
tag00120,Permanent crops for human consumption by area
tag00121,Grapes by production
tag00122,Olives by production
tag00123,Agricultural holdings by economic size of the farm (Standard Output in Euro)
tag00124,Agricultural holdings with livestock
tag00125,Agricultural holdings by age of manager
tai04,Final energy consumption by agriculture/forestry per hectare of utilised agricultural area
tai07,Ammonia emissions from agriculture - % of total emissions
tai08,Greenhouse gas emissions from agriculture
tai09,Livestock density index
