root_ancestor,domain,measure_1,measure_2,tree_1,tree_2
0,Money & Markets,Number of enterprises carrying out cross border trade by employment size class,Number of branches in non-EEA countries,0,7
0,Money & Markets,Number of enterprises carrying out cross border trade by employment size class,Number of accounts linked to CPA categories,0,3
0,Money & Markets,Number of enterprises carrying out cross border trade by employment size class,Number of loans and advances to customers linked to CPA categories,0,16
0,Money & Markets,Number of enterprises carrying out cross border trade by type of cross border trade and employment size class,Number of branches in non-EEA countries,0,7
0,Money & Markets,Number of enterprises carrying out cross border trade by type of cross border trade and employment size class,Number of accounts linked to CPA categories,0,3
0,Money & Markets,Number of enterprises carrying out cross border trade by type of cross border trade and employment size class,Number of loans and advances to customers linked to CPA categories,0,16
0,Money & Markets,Number of enterprises carrying out cross border trade by reasons for cross border trade and employment size class,Number of branches in non-EEA countries,0,7
0,Money & Markets,Number of enterprises carrying out cross border trade by reasons for cross border trade and employment size class,Number of accounts linked to CPA categories,0,3
0,Money & Markets,Number of enterprises carrying out cross border trade by reasons for cross border trade and employment size class,Number of loans and advances to customers linked to CPA categories,0,16
0,Living Well,Number of bed places in hotels and similar accomodation,Number of establishments and bed-places,5,11
0,Transports,Number of airports,Number of ships of 1000 grt and over by type,4,23
0,Transports,Number of airports,Number of ships of 300 grt and over,4,23
0,Transports,Number of airports,Number of principal ports,4,19
0,Transports,Number of airports,Number of railway vehicles per type,4,20
0,Transports,Number of ships of 1000 grt and over by type,Number of principal ports,23,19
0,Transports,Number of ships of 1000 grt and over by type,Number of railway vehicles per type,23,20
0,Transports,Number of ships of 300 grt and over,Number of principal ports,23,19
0,Transports,Number of ships of 300 grt and over,Number of railway vehicles per type,23,20
0,Transports,Number of principal ports,Number of railway vehicles per type,19,20
0,Living Well,Number of bed places in hotels and similar accommodation,Number of establishments and bed-places,5,11
0,Health & Safety,Number of accidents at work by part of body injured and severity,"Number of work-related health problems by diagnosis group, sex and number of complaints per victim",2,25
0,Health & Safety,Number of accidents at work by NACE Rev. 1.1 activity and severity,"Number of work-related health problems by diagnosis group, sex and number of complaints per victim",2,25
0,Health & Safety,Number of accidents at work by NACE Rev. 1.1 activity and size of enterprise,"Number of work-related health problems by diagnosis group, sex and number of complaints per victim",2,25
0,Health & Safety,Number of accidents at work by NACE Rev. 1.1 activity and employment status,"Number of work-related health problems by diagnosis group, sex and number of complaints per victim",2,25
0,Environment & Natural Resources and Production,Number of known species,Number and length of district networks by type of network and efficiency of network,15,28
0,Environment & Natural Resources and Production,Number of known species,Number of dairy cows,15,10
0,Environment & Natural Resources and Production,Number of known species,Number of bovine animals,15,6
0,Environment & Natural Resources and Production,Number of known species,Number of sheep,15,22
0,Environment & Natural Resources and Production,Number of known species,Number of pigs,15,18
0,Living Well,Number of bed-places,Number of establishments and bed-places,5,11
0,Environment & Natural Resources and Production,Number and length of district networks by type of network and efficiency of network,Number of dairy cows,28,10
0,Environment & Natural Resources and Production,Number and length of district networks by type of network and efficiency of network,Number of bovine animals,28,6
0,Environment & Natural Resources and Production,Number and length of district networks by type of network and efficiency of network,Number of sheep,28,22
0,Environment & Natural Resources and Production,Number and length of district networks by type of network and efficiency of network,Number of pigs,28,18
0,Money & Markets,Number of branches in non-EEA countries,Number of accounts linked to CPA categories,7,3
0,Money & Markets,Number of branches in non-EEA countries,Number of loans and advances to customers linked to CPA categories,7,16
