cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains
10,Learning & Education,1.0,1,1
100,Environment & Natural Resources and Production,1.0,2,1
1003,Environment & Natural Resources and Production,1.0,1,1
1006,Transports,1.0,7,1
1007,Transports,1.0,1,1
1008,Transports,1.0,1,1
1009,Transports,1.0,1,1
1010,Transports,1.0,1,1
1013,Transports,1.0,1,1
1017,Tech & Innovation,1.0,1,1
1023,Health & Safety,1.0,1,1
1024,Health & Safety,1.0,2,1
1025,Living Well,1.0,1,1
1028,Learning & Education,1.0,1,1
1029,"People, Work & Living Conditions",1.0,2,1
103,Environment & Natural Resources and Production,1.0,1,1
1030,Environment & Natural Resources and Production,1.0,1,1
1031,Environment & Natural Resources and Production,1.0,1,1
1034,"People, Work & Living Conditions",1.0,1,1
1035,Transports,1.0,2,1
1036,Money & Markets,1.0,1,1
1037,"People, Work & Living Conditions",1.0,2,1
1040,Environment & Natural Resources and Production,1.0,1,1
1045,Money & Markets,1.0,1,1
1047,"People, Work & Living Conditions",1.0,1,1
1048,"People, Work & Living Conditions",1.0,1,1
1049,"People, Work & Living Conditions",1.0,3,1
1051,"People, Work & Living Conditions",1.0,1,1
1057,Learning & Education,1.0,2,1
1058,"People, Work & Living Conditions",1.0,4,1
107,Environment & Natural Resources and Production,1.0,1,1
1070,Environment & Natural Resources and Production,1.0,1,1
1072,Living Well,1.0,1,1
1083,Environment & Natural Resources and Production,1.0,1,1
1086,Environment & Natural Resources and Production,1.0,1,1
1087,Transports,1.0,5,1
1088,Transports,1.0,2,1
1089,Transports,1.0,4,1
109,Environment & Natural Resources and Production,1.0,1,1
1090,Transports,1.0,1,1
1091,Transports,1.0,2,1
1093,Money & Markets,1.0,1,1
1094,Environment & Natural Resources and Production,1.0,1,1
1099,"People, Work & Living Conditions",1.0,3,1
11,Environment & Natural Resources and Production,1.0,1,1
110,Environment & Natural Resources and Production,1.0,1,1
1100,"People, Work & Living Conditions",1.0,5,1
1103,Environment & Natural Resources and Production,1.0,1,1
1105,Environment & Natural Resources and Production,1.0,1,1
1106,"People, Work & Living Conditions",1.0,4,1
1108,"People, Work & Living Conditions",1.0,1,1
1109,"People, Work & Living Conditions",1.0,1,1
111,"People, Work & Living Conditions",1.0,1,1
1110,"People, Work & Living Conditions",0.75,4,2
1111,"People, Work & Living Conditions",1.0,1,1
1112,Learning & Education,1.0,5,1
1113,"People, Work & Living Conditions",1.0,1,1
1114,Environment & Natural Resources and Production,1.0,2,1
1115,"People, Work & Living Conditions",1.0,2,1
1116,"People, Work & Living Conditions",1.0,2,1
1118,"People, Work & Living Conditions",1.0,2,1
1119,"People, Work & Living Conditions",1.0,2,1
1120,"People, Work & Living Conditions",1.0,4,1
1121,"People, Work & Living Conditions",1.0,5,1
113,"People, Work & Living Conditions",1.0,2,1
1135,"People, Work & Living Conditions",1.0,1,1
114,Living Well,1.0,4,1
1141,Transports,1.0,2,1
1142,Transports,1.0,3,1
1147,Money & Markets,1.0,2,1
1148,Money & Markets,1.0,1,1
115,Living Well,1.0,1,1
1150,"People, Work & Living Conditions",1.0,4,1
1152,"People, Work & Living Conditions",1.0,2,1
1157,Transports,1.0,1,1
1158,Transports,1.0,1,1
1166,Money & Markets,1.0,2,1
1167,Environment & Natural Resources and Production,1.0,3,1
1169,Transports,1.0,3,1
1172,Money & Markets,1.0,1,1
1173,Environment & Natural Resources and Production,1.0,1,1
1177,Environment & Natural Resources and Production,1.0,1,1
1178,Environment & Natural Resources and Production,1.0,1,1
1179,Transports,1.0,1,1
1183,Money & Markets,1.0,1,1
1186,Learning & Education,1.0,1,1
1187,Money & Markets,1.0,2,1
1189,Money & Markets,1.0,3,1
1191,Living Well,1.0,2,1
1195,"People, Work & Living Conditions",1.0,1,1
1196,Money & Markets,1.0,1,1
1197,Transports,1.0,5,1
12,Money & Markets,1.0,3,1
120,"People, Work & Living Conditions",1.0,7,1
1201,Transports,1.0,1,1
1202,Transports,1.0,1,1
1203,Transports,1.0,1,1
1204,Transports,1.0,1,1
1205,Transports,1.0,2,1
1206,Transports,1.0,1,1
1208,"People, Work & Living Conditions",1.0,1,1
1209,Living Well,1.0,5,1
121,"People, Work & Living Conditions",1.0,2,1
1210,Environment & Natural Resources and Production,1.0,1,1
1212,Environment & Natural Resources and Production,1.0,1,1
1216,Money & Markets,1.0,1,1
1217,Money & Markets,1.0,2,1
1218,"People, Work & Living Conditions",0.6666666666666666,3,2
1222,Money & Markets,1.0,1,1
1225,Money & Markets,1.0,1,1
1226,Money & Markets,1.0,1,1
1228,Environment & Natural Resources and Production,1.0,2,1
123,Learning & Education,1.0,2,1
1230,Health & Safety,1.0,1,1
1238,Environment & Natural Resources and Production,1.0,1,1
1239,Health & Safety,1.0,1,1
124,Learning & Education,1.0,1,1
1244,"People, Work & Living Conditions",1.0,1,1
1245,"People, Work & Living Conditions",1.0,5,1
1246,Money & Markets,1.0,1,1
125,"People, Work & Living Conditions",1.0,26,1
1250,Environment & Natural Resources and Production,1.0,1,1
1254,"People, Work & Living Conditions",1.0,1,1
1255,Environment & Natural Resources and Production,1.0,3,1
1256,Environment & Natural Resources and Production,1.0,1,1
1258,Environment & Natural Resources and Production,1.0,2,1
1265,"People, Work & Living Conditions",1.0,1,1
1267,Money & Markets,1.0,1,1
1272,"People, Work & Living Conditions",1.0,1,1
1273,Learning & Education,1.0,3,1
1277,Environment & Natural Resources and Production,1.0,1,1
128,Money & Markets,1.0,3,1
1280,Money & Markets,1.0,1,1
1283,"People, Work & Living Conditions",1.0,1,1
1284,Living Well,1.0,1,1
1287,"People, Work & Living Conditions",1.0,12,1
1295,Learning & Education,1.0,1,1
1296,"People, Work & Living Conditions",1.0,1,1
1297,"People, Work & Living Conditions",1.0,1,1
1299,Learning & Education,1.0,2,1
13,Living Well,1.0,1,1
130,Health & Safety,1.0,1,1
1303,Learning & Education,1.0,12,1
1305,Living Well,1.0,1,1
1308,Transports,1.0,8,1
1309,Transports,1.0,1,1
1310,Transports,1.0,1,1
1311,Transports,1.0,1,1
1315,Transports,1.0,5,1
1316,Transports,1.0,1,1
1318,Transports,1.0,1,1
1319,Tech & Innovation,1.0,1,1
132,"People, Work & Living Conditions",0.875,8,2
1322,Environment & Natural Resources and Production,1.0,1,1
1326,Health & Safety,1.0,1,1
1327,"People, Work & Living Conditions",1.0,5,1
1329,"People, Work & Living Conditions",1.0,3,1
133,Environment & Natural Resources and Production,1.0,1,1
1334,Health & Safety,1.0,1,1
1335,"People, Work & Living Conditions",1.0,1,1
1337,Living Well,1.0,1,1
1338,Tech & Innovation,1.0,1,1
1339,"People, Work & Living Conditions",1.0,4,1
1340,Tech & Innovation,1.0,1,1
1342,Tech & Innovation,0.75,4,2
1343,Environment & Natural Resources and Production,1.0,1,1
1347,Health & Safety,1.0,1,1
1349,Health & Safety,1.0,1,1
135,"People, Work & Living Conditions",1.0,1,1
1352,Living Well,1.0,1,1
1355,Environment & Natural Resources and Production,1.0,1,1
1357,"People, Work & Living Conditions",1.0,3,1
1361,"People, Work & Living Conditions",0.5333333333333333,30,3
1363,Living Well,1.0,1,1
1364,Health & Safety,1.0,1,1
1372,"People, Work & Living Conditions",1.0,1,1
1374,Transports,0.75,8,3
1375,"People, Work & Living Conditions",1.0,1,1
1376,Living Well,1.0,1,1
1378,Living Well,1.0,1,1
1379,"People, Work & Living Conditions",1.0,4,1
1381,Living Well,1.0,2,1
1384,Health & Safety,1.0,1,1
1385,Health & Safety,0.5,2,2
1386,"People, Work & Living Conditions",1.0,4,1
1387,"People, Work & Living Conditions",1.0,1,1
139,Living Well,1.0,2,1
1391,Living Well,1.0,1,1
1392,"People, Work & Living Conditions",1.0,1,1
1393,"People, Work & Living Conditions",1.0,2,1
1399,Living Well,1.0,1,1
140,"People, Work & Living Conditions",1.0,1,1
1400,Living Well,1.0,1,1
1401,Living Well,1.0,3,1
1402,"People, Work & Living Conditions",1.0,1,1
1406,"People, Work & Living Conditions",1.0,2,1
1407,"People, Work & Living Conditions",1.0,1,1
141,"People, Work & Living Conditions",1.0,1,1
1416,"People, Work & Living Conditions",1.0,1,1
1417,"People, Work & Living Conditions",1.0,1,1
142,"People, Work & Living Conditions",1.0,1,1
1423,"People, Work & Living Conditions",1.0,5,1
1426,"People, Work & Living Conditions",1.0,1,1
1427,Environment & Natural Resources and Production,1.0,1,1
1428,Environment & Natural Resources and Production,1.0,1,1
143,"People, Work & Living Conditions",1.0,1,1
1432,Health & Safety,1.0,1,1
144,"People, Work & Living Conditions",1.0,2,1
1445,Health & Safety,1.0,1,1
1446,Health & Safety,1.0,1,1
1448,"People, Work & Living Conditions",0.5454545454545454,11,2
1449,"People, Work & Living Conditions",1.0,1,1
1455,"People, Work & Living Conditions",1.0,2,1
1456,Environment & Natural Resources and Production,1.0,4,1
1457,Environment & Natural Resources and Production,1.0,1,1
1458,"People, Work & Living Conditions",1.0,2,1
1459,"People, Work & Living Conditions",1.0,1,1
146,Money & Markets,1.0,1,1
1460,"People, Work & Living Conditions",1.0,1,1
1463,"People, Work & Living Conditions",1.0,1,1
1467,Health & Safety,1.0,1,1
1468,Environment & Natural Resources and Production,1.0,1,1
1469,"People, Work & Living Conditions",1.0,1,1
1473,"People, Work & Living Conditions",1.0,1,1
1477,"People, Work & Living Conditions",1.0,1,1
1478,Money & Markets,1.0,1,1
1479,"People, Work & Living Conditions",1.0,1,1
1480,"People, Work & Living Conditions",1.0,1,1
1483,Environment & Natural Resources and Production,1.0,1,1
1484,"People, Work & Living Conditions",1.0,2,1
1485,"People, Work & Living Conditions",1.0,1,1
1487,Transports,1.0,1,1
1490,Health & Safety,1.0,1,1
1491,Health & Safety,1.0,1,1
1494,Health & Safety,1.0,1,1
1498,Health & Safety,1.0,1,1
1501,Money & Markets,1.0,1,1
1502,Environment & Natural Resources and Production,1.0,1,1
1503,Money & Markets,1.0,1,1
1505,Environment & Natural Resources and Production,1.0,2,1
1507,Health & Safety,1.0,2,1
1508,Health & Safety,1.0,1,1
1509,Health & Safety,1.0,1,1
151,Transports,1.0,1,1
1513,"People, Work & Living Conditions",1.0,1,1
1515,Environment & Natural Resources and Production,1.0,1,1
1516,Money & Markets,1.0,20,1
1520,Environment & Natural Resources and Production,1.0,1,1
1521,Environment & Natural Resources and Production,1.0,3,1
1525,Environment & Natural Resources and Production,1.0,1,1
1527,Environment & Natural Resources and Production,1.0,1,1
1529,Money & Markets,1.0,8,1
1531,Environment & Natural Resources and Production,1.0,1,1
1532,Environment & Natural Resources and Production,1.0,1,1
1533,Environment & Natural Resources and Production,1.0,1,1
1535,Environment & Natural Resources and Production,1.0,1,1
154,Tech & Innovation,1.0,1,1
1540,Environment & Natural Resources and Production,1.0,2,1
1541,Environment & Natural Resources and Production,1.0,1,1
1542,Environment & Natural Resources and Production,1.0,1,1
1543,Environment & Natural Resources and Production,1.0,1,1
1544,Environment & Natural Resources and Production,1.0,1,1
1545,Money & Markets,1.0,1,1
1548,"People, Work & Living Conditions",1.0,3,1
1550,Environment & Natural Resources and Production,1.0,1,1
1551,Health & Safety,1.0,1,1
1552,Environment & Natural Resources and Production,1.0,2,1
1553,Environment & Natural Resources and Production,1.0,1,1
1558,Learning & Education,1.0,1,1
1563,Learning & Education,1.0,1,1
1564,Learning & Education,1.0,11,1
1566,Learning & Education,1.0,1,1
1567,Environment & Natural Resources and Production,1.0,1,1
1568,Money & Markets,1.0,1,1
1570,Money & Markets,1.0,2,1
1571,Money & Markets,1.0,1,1
1572,Learning & Education,1.0,1,1
1576,Tech & Innovation,1.0,1,1
1577,Transports,1.0,8,1
1578,Transports,1.0,2,1
158,Money & Markets,1.0,6,1
1581,Transports,1.0,1,1
1582,Transports,1.0,1,1
1585,Transports,1.0,1,1
1588,Environment & Natural Resources and Production,1.0,1,1
159,Money & Markets,1.0,2,1
1590,Learning & Education,1.0,1,1
1591,Learning & Education,1.0,1,1
1592,Learning & Education,1.0,1,1
1594,Environment & Natural Resources and Production,1.0,1,1
1596,Money & Markets,1.0,2,1
1598,Money & Markets,1.0,4,1
161,Money & Markets,1.0,1,1
1611,Health & Safety,1.0,1,1
1612,Environment & Natural Resources and Production,1.0,1,1
1613,Environment & Natural Resources and Production,1.0,5,1
1616,"People, Work & Living Conditions",1.0,4,1
1618,Tech & Innovation,1.0,3,1
1619,"People, Work & Living Conditions",1.0,1,1
162,Environment & Natural Resources and Production,1.0,1,1
1620,Health & Safety,1.0,4,1
1621,"People, Work & Living Conditions",1.0,6,1
1623,"People, Work & Living Conditions",1.0,2,1
1624,"People, Work & Living Conditions",1.0,1,1
1626,Health & Safety,1.0,1,1
1628,Money & Markets,1.0,1,1
1631,Environment & Natural Resources and Production,1.0,1,1
